"antCount","bread","topping","butter"
34,"Rye","Ham and gherkins","no"
47,"Multi Grain","Peanut butter","yes"
67,"White","Ham and gherkins","yes"
63,"Multi Grain","Ham and gherkins","yes"
65,"Rye","Ham and gherkins","no"
58,"Rye","Ham and gherkins","yes"
51,"Whole Grain","Peanut butter","yes"
59,"Multi Grain","Ham and gherkins","no"
65,"White","Ham and gherkins","yes"
18,"White","Yeast spread","no"
57,"Whole Grain","Peanut butter","yes"
76,"Multi Grain","Ham and gherkins","yes"
48,"Whole Grain","Ham and gherkins","no"
31,"White","Yeast spread","no"
26,"Multi Grain","Yeast spread","yes"
21,"Whole Grain","Peanut butter","no"
57,"Rye","Yeast spread","yes"
28,"Multi Grain","Yeast spread","yes"
21,"Rye","Yeast spread","no"
54,"White","Ham and gherkins","no"
38,"Multi Grain","Yeast spread","no"
19,"Multi Grain","Peanut butter","no"
53,"Whole Grain","Ham and gherkins","no"
60,"Multi Grain","Peanut butter","yes"
29,"Rye","Yeast spread","no"
48,"White","Peanut butter","no"
22,"White","Yeast spread","yes"
36,"Rye","Peanut butter","yes"
50,"White","Peanut butter","yes"
45,"White","Yeast spread","yes"
36,"White","Peanut butter","no"
36,"Multi Grain","Ham and gherkins","no"
42,"Whole Grain","Yeast spread","no"
24,"Whole Grain","Peanut butter","no"
59,"Rye","Peanut butter","no"
22,"Multi Grain","Peanut butter","no"
66,"Whole Grain","Ham and gherkins","yes"
47,"Rye","Peanut butter","no"
44,"White","Ham and gherkins","no"
42,"Rye","Yeast spread","yes"
25,"Whole Grain","Yeast spread","no"
48,"Whole Grain","Yeast spread","yes"
41,"Rye","Ham and gherkins","yes"
42,"Multi Grain","Yeast spread","no"
27,"White","Peanut butter","yes"
40,"Whole Grain","Yeast spread","yes"
59,"Whole Grain","Ham and gherkins","yes"
42,"Rye","Peanut butter","yes"
